id,date,energyreal_wac_sum_consumed,energyreal_wac_sum_produced,current_ac_sum,powerreal_p_sum,reference,voltage_ac_phase_average
1261602,"['Jan', '27', '2022', '00:00:01']",18104200.0,230727.0,59.3114,6602.52,comfenalco1-meter,130.986
1261603,"['Jan', '27', '2022', '00:00:02']",1616370.0,6063330.0,5.30014,368.217,takurika1-meter,125.041
1261604,"['Jan', '27', '2022', '00:00:02']",7012420.0,7047.0,51.916,6040.77,edlv-meter,126.323
1261605,"['Jan', '27', '2022', '00:00:11']",18104200.0,230727.0,59.2628,6580.35,comfenalco1-meter,130.54
1261606,"['Jan', '27', '2022', '00:00:12']",1616370.0,6063330.0,5.30701,367.967,takurika1-meter,124.778
1261607,"['Jan', '27', '2022', '00:00:21']",18104400.0,230727.0,59.1781,6595.86,comfenalco1-meter,131.088
1261608,"['Jan', '27', '2022', '00:00:22']",1616370.0,6063330.0,5.31068,368.57,takurika1-meter,125.022
1261609,"['Jan', '27', '2022', '00:00:31']",18104400.0,230727.0,59.0792,6579.83,comfenalco1-meter,130.999
1261610,"['Jan', '27', '2022', '00:00:32']",1616370.0,6063330.0,5.30139,367.717,takurika1-meter,125.058
1261611,"['Jan', '27', '2022', '00:00:41']",18104400.0,230727.0,58.4744,6538.68,comfenalco1-meter,130.945
1244198,"['Jan', '26', '2022', '00:00:03']",17931900.0,230555.0,91.1604,10755.3,comfenalco1-meter,127.138
1244199,"['Jan', '26', '2022', '00:00:04']",1609940.0,6009120.0,4.81993,329.125,takurika1-meter,123.615
1244200,"['Jan', '26', '2022', '00:00:13']",17931900.0,230555.0,90.9141,10714.4,comfenalco1-meter,127.112
1244201,"['Jan', '26', '2022', '00:00:14']",1609950.0,6009120.0,4.81462,328.554,takurika1-meter,123.601
1244202,"['Jan', '26', '2022', '00:00:22']",17932100.0,230555.0,91.0378,10714.8,comfenalco1-meter,126.94
1244203,"['Jan', '26', '2022', '00:00:24']",1609950.0,6009120.0,4.83226,328.644,takurika1-meter,123.721
1244204,"['Jan', '26', '2022', '00:00:33']",17932100.0,230555.0,90.1763,10643.9,comfenalco1-meter,127.312
1244205,"['Jan', '26', '2022', '00:00:34']",1609950.0,6009120.0,4.83293,328.769,takurika1-meter,123.665
1244206,"['Jan', '26', '2022', '00:00:43']",17932100.0,230555.0,90.004,10606.6,comfenalco1-meter,127.219
1244207,"['Jan', '26', '2022', '00:00:44']",1609950.0,6009120.0,4.82731,328.465,takurika1-meter,123.684
1226296,"['Jan', '25', '2022', '00:00:02']",1605600.0,5926950.0,4.75851,329.121,takurika1-meter,125.552
1226297,"['Jan', '25', '2022', '00:00:02']",17801500.0,230301.0,39.4082,4075.78,comfenalco1-meter,130.178
1226298,"['Jan', '25', '2022', '00:00:03']",6850540.0,6928.0,41.3978,4892.73,edlv-meter,125.491
1226299,"['Jan', '25', '2022', '00:00:12']",1605600.0,5926950.0,4.76206,329.06,takurika1-meter,125.564
1226300,"['Jan', '25', '2022', '00:00:12']",17801500.0,230301.0,39.7533,4138.07,comfenalco1-meter,130.236
1226301,"['Jan', '25', '2022', '00:00:22']",1605600.0,5926950.0,4.76525,330.094,takurika1-meter,125.7
1226302,"['Jan', '25', '2022', '00:00:22']",17801600.0,230301.0,39.8506,4143.42,comfenalco1-meter,130.325
1226303,"['Jan', '25', '2022', '00:00:31']",1605600.0,5926950.0,4.76231,329.02,takurika1-meter,125.574
1226304,"['Jan', '25', '2022', '00:00:32']",17801600.0,230301.0,39.9036,4155.88,comfenalco1-meter,130.03
1226305,"['Jan', '25', '2022', '00:00:41']",1605600.0,5926950.0,4.77181,328.854,takurika1-meter,125.551
1207942,"['Jan', '24', '2022', '00:00:02']",17667800.0,230105.0,38.9619,3894.71,comfenalco1-meter,128.505
1207943,"['Jan', '24', '2022', '00:00:03']",1601570.0,5843630.0,4.7814,330.588,takurika1-meter,124.082
1207944,"['Jan', '24', '2022', '00:00:04']",6792430.0,6873.0,32.8067,3957.1,edlv-meter,126.06
1207945,"['Jan', '24', '2022', '00:00:12']",17667800.0,230105.0,39.0202,3890.24,comfenalco1-meter,128.379
1207946,"['Jan', '24', '2022', '00:00:13']",1601580.0,5843630.0,4.78595,331.318,takurika1-meter,124.089
1207947,"['Jan', '24', '2022', '00:00:22']",17667800.0,230105.0,39.4158,3952.18,comfenalco1-meter,128.228
